"rpid","oid","mid","name","level","datetime","content","like","rcount"
"1666548304","54916636","1342084","油焖甜甜圈","6","2019-06-08 11:39:38","牛皮。。。只有米忽悠，才能打败米忽悠","195","52"
"1666548356","54916636","204793273","这是一个普通名字","5","2019-06-08 11:39:44","米忽悠在pv上骗过我们吗？","3393","50"
"1666555422","54916636","40578167","瓦尔特--杨","5","2019-06-08 11:40:02","希望大家看的时候注意一下右下角“游戏引擎实录”[微笑][微笑]","769","41"
"1666553115","54916636","39637359","-梓喵","6","2019-06-08 11:41:25","终于有pv了","4","2"
"1666557178","54916636","12072971","涼袷ボール","5","2019-06-08 11:41:49","高考×
崩崩×
崩崩崩×
少女前线×
原神???","406","13"
"1666560730","54916636","73540593","七七要喝椰羊的奶","6","2019-06-08 11:43:03","在我心中温迪明明是女孩，为什么，为什么会这样[小电视_哭泣]","9","2"
"1666558483","54916636","19915320","白青乀","6","2019-06-08 11:43:07","这个画面作为手游还是非常惊艳的，但是相比崩崩崩好像也没有太大提升。作为PC端游的话画面略有不足，也就是几年前二次元游戏的水平。希望剧情和玩法方面能有新意，不然我不可能放着PC端上的3A大作不玩，把时间花在一个几年前就玩腻了的套路作上。","33","17"
"1666558825","54916636","39771472","灭霸娜","6","2019-06-08 11:43:24","吹爆！米忽悠不存在pv欺诈","14","2"
"1666559694","54916636","4825217","蔚蓝的星辰","5","2019-06-08 11:44:17","把塞尔达抄的差不多，多了几个元素而已","2","0"
"1666568314","54916636","44207442","tangen0","5","2019-06-08 11:48:16","说抄袭塞尔达的我想说……
抄就抄呗，三蹦子抄了多少游戏都数不清了吧。
问题是游戏好玩不好玩，美工合格不合格，文案沙雕不沙雕，剧情和策划……别指望了，三蹦子不照样吹爆？","2","6"
"1666574036","54916636","13921942","故梦樱花落丶","6","2019-06-08 11:48:24","众所周知，米哈游的PV和CG从不骗人！","6","1"
"1666568548","54916636","9250628","半碗茶凉","6","2019-06-08 11:48:34","我就说句不好听的，是不是跟荒野之息太像了，草原那里火啊草啊石头啊啥的，我甚至怀疑是从破解版游戏里直接把素材拿过来用[2233娘_喝水]","3","2"
"1666569650","54916636","10105509","红柳烤肉","6","2019-06-08 11:50:02","目前最让我个人反感的几个势力：黑暗面军团，女拳教，田园反抄协会，戒色教。","17","0"
"1666580893","54916636","23401101","拉邦结派人","5","2019-06-08 11:50:10","你让我进测试，我崩崩崩就氪一个3s女王，我话就撂在这里了，言出必行[滑稽]","71","6"
"1666586782","54916636","37380645","魅影千素","5","2019-06-08 11:52:47","吧崩坏3的打击体验完美带到大型开放世界里去，什么龙族楚留香，都是dd，虽然我两个都在玩","63","16"
"1666588540","54916636","2329781","生米做成稀饭","6","2019-06-08 11:55:02","百分百祝福，希望拿到内测资格。
还有一群ky塞尔达的人能认清一下自己行吗，说个画风相近无所谓，跳脸ky请自重。是任天堂把代码发给米忽悠了还是把渲染配置发给米忽悠了[微笑]多带点脑子少扣点帽子，毕竟国内所谓的游戏厂商抄米忽悠都没抄成功几个，酸什么呢，真以为民间作坊任天堂呀，米忽悠眼睛一睁一闭就能copy呀。","58","94"
"1666600361","54916636","5140091","肥羊羊羊肥","6","2019-06-08 11:57:21","一羊血书测试服资格（1/1）","1194","23"
"1666600719","54916636","1968385","FF不想说","5","2019-06-08 11:57:50","之前看截图以为只是美术风格像，妈耶这pv一看完全就是野炊换皮啊","27","13"
"1666598441","54916636","2192799","NCXH945","6","2019-06-08 12:00:27","你所看到的这些，实际上可能只开发了5到7个月
对比打磨多年的崩坏3，第一部PV效果实在是好了太多
求：米忽悠去年年底吃了多少人[蛆音娘_滑稽]","8","10"
"1666598540","54916636","400594","金色稀有的高压锅","6","2019-06-08 12:00:35","明着抄还行  毕竟2 3RD 都是这样过来的","0","18"
"1666599470","54916636","19273770","黯淡l","6","2019-06-08 12:01:45","毕竟荒野之息这种风格的游戏还是太少了，你看现在有几个说战地5风格像使命召唤的[滑稽]","62","20"
"1666611871","54916636","109320422","纱雾sweetVer","5","2019-06-08 12:04:48","首充6元送5星圣痕，月卡季卡年卡样样都有，皮肤氪金就送，角色转职觉醒，十连开箱不保底只能想到这么多了","2","0"
"1666612081","54916636","122504","倦怠期Azure","6","2019-06-08 12:05:02","野吹大礼包，外加部分伊苏、传说系列和relink的影子，真有你们的啊米哈游.jpg
 
看来是下一个arpg起源了，和三蹦子一起成为新的业界标杆制霸act和arpg","4","1"
"1666613789","54916636","7621156","OrionCat","6","2019-06-08 12:07:18","恕我直言：参考怪猎和塞尔达挺多的，要说是巧合我是不信","1","0"
"1666623925","54916636","23322297","泠泠尔一","5","2019-06-08 12:07:44","希望各位在张口闭口抄袭之前可以去了解一下游戏相关规定，安利up主芒果冰，游戏保护表达不保护思想，保护思想做新游戏难度太大了","45","4"
"1666627314","54916636","13260066","小桓小","5","2019-06-08 12:08:51","美术风格和很多设计都很塞尔达……滑翔伞，古代守护者，亮光的塔……感觉连稍微避嫌的自觉都没有……","1","0"
"1666631406","54916636","85917158","饺子吃馅饼","6","2019-06-08 12:10:40","有机会上ns吗？","7","2"
"1666629800","54916636","74093669","-血肉苦弱-","5","2019-06-08 12:10:58","这不是塞尔达吗？别欺我玩得游戏少，这艺术渲染这动作模组不是塞尔达照般过来的？有滑翔伞设定的游戏很多，它偏偏最像塞尔达（举例dqb2，虽然一样都有滑翔伞但动作设定之类的相差还是蛮大的）还有激光守护者，这特效这配色不是塞尔达？来来来，各位洗地党举一个相似一点的游戏让我瞧瞧","14","9"
"1666641519","54916636","43706234","史代_Bobby","5","2019-06-08 12:12:22","这照着塞尔达抄的吧，战斗，攀爬，滑翔，连pv最开始都是“快醒醒”23333","1517","504"
"1666643712","54916636","10608116","灵魂值","6","2019-06-08 12:14:12","？？？你跟我说这不是抄袭？从画风，攀爬动作，游泳动作，射箭动作，水面特效，气流特效，火焰特效，哪个不是和塞尔达一模一样？？","62","53"
"1666644893","54916636","17869581","账号-已销","5","2019-06-08 12:15:15","塞尔达风格的龙之谷战斗模式的米忽悠新作？","3","0"
"1666634868","54916636","20763464","人活着就是为了花玲","6","2019-06-08 12:15:16","因为是米忽悠，所以我信pv是真的，其他游戏pv和游戏是二个东西","31","1"
"1666655064","54916636","191184767","系风","5","2019-06-08 12:15:32","你说的这个原神，它好玩吗？","4","3"
"1666645709","54916636","12922102","我永远喜欢列克星敦-","6","2019-06-08 12:15:58","塞尔达传说：原神[蛆音娘_滑稽]","32","5"
"1666651253","54916636","11613864","先刃","6","2019-06-08 12:16:26","我求你了，让我中吧，，今天高考凌晨拉肚，早上起来电动车没电，坐公交坐错站，最后打的过去了，进考场指纹仪还坏了(′；ω；`)","6","1"
"1666652515","54916636","28778130","蓝海岛咸鱼","6","2019-06-08 12:17:27","崩坏三之塞尔达传说","3","1"
"1666661100","54916636","1294630","Arachidonic_原神","5","2019-06-08 12:20:26","wdnmd太真实了，我原来的id就叫原神，现在变成数字了[大哭]","34729","1211"
"1666665213","54916636","39011111","GraeK","6","2019-06-08 12:21:24","看了三遍，得出以下臆测：
1、开放世界石锤了
2、有了z轴（其实崩崩崩也是有的），可以上天或爬墙了
3、画风很米哈游（塞尔达），室内场景未知
3、估计是mmoRPG 主角是来自异世界的footman
4、透露了6个角色（职业）可选，分别是封面的战士、法师、archer、dz，以及后边出现的拿扇子的还有拿剑的角色。
5、黄毛可能是主线主角，是否可操控未知
6、派蒙就是元神里的爱酱
7、我永远喜欢派蒙
(｀?ω?′)
第一次当课代表，送我上去(｀?ω?′)","2099","72"
"1666663423","54916636","9171380","鹬蚌相蒸","6","2019-06-08 12:22:21","一下炸出这么多塞尔达玩家？为啥我身边想找个一起玩主机游戏的都很难呢？[嫌弃]","826","58"
"1666671530","54916636","35886159","夜隠八重霞","5","2019-06-08 12:23:57","对于那些说抄袭的我不做评论，但是对于那些说抄袭这抄袭那还骂原神垃圾游戏的，我只能说awwbwg。","22","74"
"1666671860","54916636","1705575","神印天徒","6","2019-06-08 12:24:22","有草地就是抄袭塞尔达，呵呵，你家塞尔达是申请了草地专利？","2","7"
"1666669004","54916636","38453788","荆棘之冠free","5","2019-06-08 12:25:52","那些说塞尔达的，你们是不是只知道塞尔达?咋就没人提伊苏和传说呢？(再多我也没玩过)风格接近就接近吧，至少游戏性能保证。国内没有很好的条件搞完全创新。再加上第一次运营mmorpg(可能?)学学别人稳一点防爆死我觉得还是很有必要的。","34","37"
"1666679433","54916636","56118186","亿郁丶","6","2019-06-08 12:27:18","神tm攀爬系统章某尔达，你说画风像就算了，攀爬动作你还能给我整个什么花样？倒立爬？用头爬？还是用DIAO爬？","54","26"
"1666685583","54916636","34545105","犬小恋","6","2019-06-08 12:28:15","pv的最后写了，spring 2020","5","0"
"1666691735","54916636","7271176","一只小核狗","5","2019-06-08 12:30:31","这个既视感，呵呵果然是“国内游戏公司”","1","10"
"1666688511","54916636","35474514","--NONO--","5","2019-06-08 12:30:38","评论下面的有些人真的奇怪，说画风像塞尔达也就算了，游泳攀爬滑翔抄袭都出来了，下面还有说攀爬像古墓丽影的你们要不要打一架","147","72"
"1666696058","54916636","51767673","我有好多玩具","4","2019-06-08 12:32:41","还是那句话，米忽悠不管怎么说，都不会pv欺诈。

诸位，期待吧","19","0"
"1666696372","54916636","7271176","一只小核狗","5","2019-06-08 12:32:57","秒删评论，好大的官威，抄袭没得洗。杠精来一个喷一个","0","1"
"1666696563","54916636","40318389","本間向曰葵","5","2019-06-08 12:33:07","塞尔达传说：原神之息","3","0"
"1666697203","54916636","44951868","吃葡萄不吐西红柿","5","2019-06-08 12:33:38","直接拿别人家的游戏换皮？还厚颜无耻的说自家原创，能不能别这么恶心[吐][吐]","1","3"
"1666701176","54916636","281350701","_林品如_","5","2019-06-08 12:34:15","温蒂:你们在三蹦子迫害我是吧？老娘卷铺盖走人！！[奸笑][奸笑][奸笑][奸笑]","4","0"
"1666694975","54916636","8360404","アリス-メガトロン","6","2019-06-08 12:34:36","讲道理...你抄没问题....就算你抄到骨子里...抄美术，抄风格，抄特效，抄剧情都没问题，只要你不怕地表最强法务部，那也没什么问题，问题是别人不是那么好抄的啊...要是你真的能抄到哪怕半分内核，那都是无敌的存在啊...塞尔达可以说是近几年世界上最牛逼的游戏团队制作的最牛逼的游戏，甚至他们已经把自己的心得很大部分的公布出来了，你要是真的能抄到他的玩法，如果能做出一个换皮的荒野之息，那也是绝对无敌的存在啊...但是你要是东施效颦，那这不尴尬的要死...","1","4"
"1666704326","54916636","6397275","御坂凪海","5","2019-06-08 12:37:53","当年。崩3开服。
我看完pv：哇，这画面，好夺目，好炫彩，我要玩！
实际上：特效全关，画质最低，完全不是一个游戏。。。
现在。原神开测。
我看完pv：哇，这画面，好夺目，好炫彩，我要玩！
实际上：不登陆安卓平台。。。","0","2"
"1666704723","54916636","7271176","一只小核狗","5","2019-06-08 12:38:21","@拿破仑的翘臀 敢回复不敢和我辩论？米哈游还能洗？","0","4"
"1666708426","54916636","62540061","夜深月冷","5","2019-06-08 12:39:01","塞尔达既视感","1","0"
"1666714321","54916636","180497396","字野耕平","5","2019-06-08 12:39:26","塞尔达？？？这草，这滑翔翼，这攀爬动作","1","0"
"1666709098","54916636","6825614","白色豹IIA7","6","2019-06-08 12:39:52","可以说是很塞尔达惹（￣▽￣）","1","0"
"1666716343","54916636","32708126","飘无岸","6","2019-06-08 12:40:16","米抄游终究还是没让我们失望啊[点赞]，下次把怪猎也整一个[2233娘_大笑]","8","0"
"1666718124","54916636","165650291","HedgehogSteve","6","2019-06-08 12:42:25","就像一篇高分作文，套路的“好词好句”会让作文整体更连贯华丽一些。而低分作文只是简单的把“好词好句”无脑堆叠。再反观动漫圈，游戏圈，数码圈，音乐圈，汽车圈等等，不也是亦如此嘛？取长补短的更新自己才是一个聪明的企业该做的事。而用的差的山寨货，他们的成功是会阻挡业界水平发展的，我希望大家“跟风”去抵制的，是那样的糟粕。[微笑]","53","12"
"1666726126","54916636","10368551","狐米米米草","5","2019-06-08 12:42:27","[蛆音娘_卖萌]谢谢各位为塞尔达做的宣传，什么时候为古墓做做免费宣传？","1","0"
"1666719705","54916636","21778101","KagarinoW","6","2019-06-08 12:44:19","万物起源塞尔达？","1","0"
"1666741000","54916636","422652268","Bili_422652268","5","2019-06-08 12:48:50","提抄袭，我就想问问有多少个实际玩过的？嗯？难不成中国那1%的主机玩家都在批站？还凑巧都在看这pv？怕不是都是云玩家，毕竟你批云玩家最多了[doge]","76","157"
"1666739755","54916636","381989470","希尔斯堡","5","2019-06-08 12:50:12","脑子：我想玩
手：我想玩
耳朵：我想听
眼睛：我想看
 手机：不，你们不想。这是谋杀，我有权告你们","47","1"
"1666743197","54916636","12843401","Sam哟哟","6","2019-06-08 12:51:36","这....就是塞尔达吧[无语]","1","0"
"1666749835","54916636","19518327","nayuki-","6","2019-06-08 12:52:19","吐槽一句啊，这里面除了渲染的风格很像塞尔达之外，目前也没什么具体可以指出抄袭的地方，至于风格，就算了吧，真要有抄袭的证据，就轮到对面法务部出场了(笑)","3","6"
"1666755914","54916636","93398397","月下寂寥空无人","6","2019-06-08 12:53:11","好了，我基本确定会看见许多荒野之息优越党玩家疯狂喷原神了","18","28"
"1666755960","54916636","262414882","青色风信子","5","2019-06-08 12:53:13","别的不说，pv里有一段草地着火了的画面，你告诉我那不是塞尔达的草地着火效果？米卫兵们醒醒吧[无语]","3","2"
"1666752923","54916636","4004345","新世纪哲学战士7","5","2019-06-08 12:53:50","用知乎上一位的话吧，风格相近不代表过度借鉴（抄袭）美术资源。游戏都没出来，喷子到是出来不少","5","0"
"1666759003","54916636","15161193","不出贝姐3不改名","5","2019-06-08 12:55:37","????笑了，这不是塞尔达荒野之息？真有你的啊，米哈游，哪个火就抄哪个。之前鬼泣贝姐，现在又向旷野之息下手了。","2","0"
"1666772695","54916636","629876","穆木沙","5","2019-06-08 12:58:42","抄塞尔达有点彻底","4","11"
"1666773905","54916636","7834194","xzisaac","5","2019-06-08 12:59:39","野炊有一个17年的预告pv 建议去看一下再对比 不是风格的问题了 连pv节奏和镜头都来借鉴","9","5"
"1666774363","54916636","2078542","月之玄殇","6","2019-06-08 13:00:02","别叫抄袭了，抄袭是法律上的事，每次说抄袭就拿“怎么不告”“告不赢”来洗，我建议这种游戏以后统一分类扒皮游戏，把别人的皮披在自己身上，别人骨子里的精髓一点都学不到。","53","36"
"1666769391","54916636","2632400","知漏宇下","6","2019-06-08 13:01:25","求求那些在游戏初测还没开的情况下就说抄袭的朋友不要跟我抢资格。","4","18"
"1666776085","54916636","285830516","情深致命情与义","5","2019-06-08 13:01:41","讲个笑话:草原始祖——塞尔达   ，油亮画风始祖——塞尔达    (?π_π?? )。吴佩孚","19","27"
"1666782557","54916636","16228081","非马陈词烂调","6","2019-06-08 13:02:39","我不得不说一句，抄袭，不要和我说不是抄，地图和特效还有一些怪物设计基本照搬荒野之息，，，，","6","14"
"1666783570","54916636","22307851","翱翔天马","5","2019-06-08 13:03:31","看了感觉好期待，就是评论区戾气太重了。。。","13","0"
"1666786887","54916636","27532340","祈颂の桜","6","2019-06-08 13:04:24","开始了，抄袭大厂米忽悠就完事了，对不对？
是不是原神弄成3D写实风格？你们就会说这玩意抄了神秘海域，抄了古墓丽影。抄了他们的攀爬，走路，游泳，射箭，草木这些东西？
版权卫士们别在网上叫了，你认为她抄袭，你就去被抄袭的那家游戏举报啊，让他们两家打官司，等法院的判决下来，你这个卫士才做了正确的事，而不是在这网络上放个暴躁老哥。","126","60"
"1666791180","54916636","2078542","月之玄殇","6","2019-06-08 13:05:42","其实只是美术风格像也就算了，不过这个攀爬，游泳，滑翔... 把旷野之息的要素“借鉴”的也太多了，动作都这么像。PV开头那段被叫醒然后站在悬崖俯视地图的画面简直有刻意模仿的嫌疑。 但谁也没法说是抄袭。","16","2"
"1666779447","54916636","1819757","吉田沙优","6","2019-06-08 13:06:03","没玩过旷野之息的应该只是觉得画风像，毕竟作为目前游戏届天花板的存在了。玩过的就看得出连劈砍、火焰特效、攀爬动作、飞翔姿势、跑步姿势都如出一辙…emmmmm，大伟哥似乎摆出了一种毫不掩饰深入骨髓般的抄袭姿态。","595","154"
"1666800600","54916636","517760","yuri子","6","2019-06-08 13:08:45","弹幕还有说别人只知道塞尔达的 笑死我了","9","1"
"1666800918","54916636","381989470","希尔斯堡","5","2019-06-08 13:09:10","不喜勿喷啊，把你的睡觉姿势版权费交给最开始睡觉的那个智人，还有走路吃饭拿东西的姿势费用都要交。一个国产自创游戏，都对国外跪下的站不起来了况且人家测试服都还没出纳，怎么断定而且你真的为任天堂不知道吗？蹦蹦蹦在日本也火的。对了，你叫塞尔达把费用交给美国，gta里面的的动作咋就没人说了？
另外在你喷我之前请把顶上的版权费交了。","13","27"
"1666806963","54916636","273381923","冰酱与天酱","5","2019-06-08 13:10:37","那些说抄的现在嫌弃的一批的最后公测到底玩不玩呢？呵呵，我只希望他们千万别玩，千万别给这游戏做贡献，赶紧行动起来，支持正版游戏，买个switch给任天堂增加收入去吧(°?°)?","4","4"
"1666798180","54916636","4250978","蒸服世界","6","2019-06-08 13:10:50","他是怎么能吧不同引擎下的游戏画面做得一毛一样的[无语]。燃烧箭烧草地乘风而起林可时间五连电击箭爆头的操作有没有啊[doge]","4","0"
"1666808073","54916636","44547855","碳烤馡魚紈","5","2019-06-08 13:11:34","那些说抄袭的哦(′-ω-`)你们只管去塞尔达的官方告。我就看塞尔达敢不敢把律师函寄到米哈游。[蛆音娘_滑稽][蛆音娘_哼]","4","2"
"1666799465","54916636","32278875","超高校级的污塔塔","5","2019-06-08 13:12:31","谈谈我的一点看法，我们看原神可能都觉得和塞尔达相似，但我觉得抄不抄袭不是我们说的算，要是真构成抄袭，人家自然会律师函。任何游戏都难避免和同款类型的标杆做比较，也总会在游戏里面取找和其他游戏里面的相似之处，玩玩梗就好了，别无脑黑。（勿喷）","24","1"
"1666803692","54916636","32183774","ID辰巳君","6","2019-06-08 13:12:32","做得好！不说别的，至少干翻腾讯的龙族幻想吧！真是毁我龙族ip[嫌弃]","3","1"
"1666804156","54916636","13660031","沐心by","6","2019-06-08 13:13:04","抄袭抄袭。。。。游戏还没出来就抄袭。画风像也不行。。。是不是有弓兵就抄袭。有剑盾就抄袭。？？？你们玩的游戏是有多少？？？","6","7"
"1666804353","54916636","3419573","本是中二灬","5","2019-06-08 13:13:20","mc：幸好我是方块呐，要不然生存模式随便生成个草地地图就要涉嫌抄袭塞尔达了呢[滑稽]","7","9"
"1666816163","54916636","266125409","初代の萌王","5","2019-06-08 13:14:13","原神:荒野之息","1","1"
"1666820168","54916636","21262540","Sayid_SWT","6","2019-06-08 13:14:19","求求你们别洗啦[吐]","0","1"
"1666810876","54916636","224339896","顺子A2345","5","2019-06-08 13:14:24","上推广了","0","0"
"1666811107","54916636","4703826","Noped_","5","2019-06-08 13:14:41","塞尔达借鉴没得洗","0","1"
"1666816836","54916636","1772193","iGlad","6","2019-06-08 13:14:46","原神—荒野之息","0","1"
"1666820633","54916636","108593","旧小","5","2019-06-08 13:14:50","感谢你忽悠，让买不起  ns的众多中国玩家玩上塞尔达荒野之息！[喜欢][喜欢]大力氪金就完事了！致敬能叫抄袭？[抠鼻][抠鼻]","2","2"
"1666820782","54916636","7766952","Zokushe","6","2019-06-08 13:15:00","玩了那么久塞尔达，就总感觉和什么很像，原来是抄这个的，垃圾任天堂我再也不玩他的游戏了","6","3"
"1666821341","54916636","32278875","超高校级的污塔塔","5","2019-06-08 13:15:41","谈谈我的一点看法，我们看原神可能都觉得和塞尔达相似，但我觉得抄不抄袭不是我们说的算，要是真构成抄袭，人家自然会律师函。任何游戏都难避免和同款类型的标杆做比较，也总会在游戏里面取找和其他游戏里面的相似之处，玩玩梗就好了，别无脑黑。（勿喷）","6","5"
"1666812448","54916636","23890901","抽象是最后的遮羞布","5","2019-06-08 13:16:28","三渲二的画面都算抄袭？那所有用虚幻引擎的游戏也都是抄袭？出了使命召唤别人就不能出别的枪战动作游戏了？出极品飞车别人就不能出赛车游戏了？出光环别人就不可以出未来太空科幻游戏了？是不是有了塞尔达后所有日式rpg开放世界游戏都是抄袭了？","6","14"
"1666812554","54916636","253677981","别看了真不熟","2","2019-06-08 13:16:37","前作五月哭，新作塞尔达。感谢米哈游，不花一分钱就可以玩到各种大作。圆了我一个主机梦，再次吹爆米哈游。","207","52"
"1666819255","54916636","244386436","姓符就幸福","5","2019-06-08 13:16:51","我就奇怪了，就一个pv能吵到抄袭去？人均版权??？","3","2"
"1666823028","54916636","2988638","星扉与Faye","6","2019-06-08 13:17:44","等内测后再看吧，如果米哈游真的抄了东半球法务部最强的游戏公司，公测后估计会死相难看，到时候再上香也不迟","7","8"
"1666814001","54916636","138910989","_这个人真懒_","6","2019-06-08 13:18:32","吵起来吧，不吵起来怎么有热度呢","3","0"
"1666830046","54916636","22037279","一本正经的吉力","6","2019-06-08 13:19:56","像素级学习塞尔达（指出","1","1"
"1666835177","54916636","18150682","饸饹面我最爱吃","6","2019-06-08 13:20:20","不想玩的也能被吸引进来…还各种嘲讽想玩的，不懂这是什么心理","10","3"
"1666835650","54916636","7118487","贾兰杜","6","2019-06-08 13:20:54","这可能将是我继Ro仙境传说，wow魔兽世界后，第三个能玩十年的端游，也可能是我这辈子最后一个会长期玩的网游。自从崩崩崩出现后我多少次梦想有一天米哈游能进军PC或者主机游戏平台，担起中国游戏崛起的重任，此刻终于实现了。大家记住这个名字原神，必将是中国游戏史上浓墨重彩的一笔。
称赞了这么多游戏质量其实我根本不担心，15000个点去做手游建模的米哈游，担心都是多余的，我唯一担心的其实还是运营方面，崩崩崩为了敛财累计资本，超乎寻常的速度更新，短期内不断压榨玩家的方式，希望能在原神里收敛一点。你们真的已不再是一个小小的游戏公司，请带着中国游戏公司最强之一的自觉性和尊严将这款游戏运营下去，让她名垂青史吧。","9","3"
"1666829120","54916636","71552395","T--SC","5","2019-06-08 13:21:06","荒野之息，我不否定像。但是，美术方面城镇教堂等是这个就绝不是荒野之息的了，只要是涉及到美术方面基本都是自家的又或者是加以自家的美术创新的，那个滑翔后有推力，更像是飞行，塞尔达的滑翔没有这点，这个画风给的错觉而已。你要说这飞翔更像什么？——碉堡之夜。由于画风问题已经很多塞尔达玩家脑袋发热了，请仔细观摩pv的各种，这美术是米哈游专属这点不会变(原神的人物建模更偏向“美”，你不要说是林克，林克的是简陋型)，战斗上不能定型，因为这种画风，做出来只能被说是“像极”了某塞。但你们不像想一下，如果是崩三的画风，你们还会说想塞尔达？","63","16"
"1666840644","54916636","11790935","碧落Q","6","2019-06-08 13:22:28","可以开始表演了 我先来一段 游戏玩法不算抄袭 再来一段 游戏好玩就行了抄不抄的关我什么事[doge]","6","1"
"1666841118","54916636","95466442","Sunny_咯","5","2019-06-08 13:22:54","出来了再看，超不抄袭到时候就知道了。戾气咋这莫大。[小电视_无语][小电视_无语]","2","0"
"1666837450","54916636","125111372","镜中の壳","5","2019-06-08 13:23:05","塞尔达:原神了解一下！
游戏好玩照样买单，玩家不用面对律师函，不过米哈游该准备应对一下老任的律师函","0","1"
"1666837463","54916636","2515174","秘紅赫耀","6","2019-06-08 13:23:06","如果有一种动物，它看起来像鸭子，走起来像鸭子，叫起来像鸭子，它就是（）","1","0"
"1666837500","54916636","5157730","火的意志-","6","2019-06-08 13:23:09","塞尔达是你吗","0","7"
"1666841867","54916636","19885969","混沌虚无之境","5","2019-06-08 13:23:32","大型缝合游戏","1","2"
"1666842874","54916636","22658034","椎名真白しろ","6","2019-06-08 13:24:24","原神传说：荒野之息","1","3"
